state,qdate,quarter_str,ave_intrate,pct_lt3,pct_3_4,pct_4_5,pct_5_6,pct_ge6,tot_loans,share_locked_in,mortgage_rate_30yr,rate_gap,permits,hpi,hpi_yoy,unemp_rate,zhvi,zhvi_yoy,new_listing_count,active_listing_count,median_days_on_market,median_listing_price,net_migration_lag1,covid_dummy,ln_permits,ln_new_listings,post_2022
AK,2016-07-01,2016Q3,4.4,4.9,39.3,32.9,12.1,10.6,115.0,77.1,3.4450000000000003,-0.9550000000000001,381.796662587465,315.38,1.8406096615861456,6.7,277622.4500813593,2.101649479094303,3204.0,3784.0,67.0,286700.0,-11.11077224,0,5.947503941117243,8.07246736935477,0
AK,2016-10-01,2016Q4,4.3,5.2,41.0,32.0,11.6,10.2,115.0,78.2,3.812666666666667,-0.48733333333333295,373.223951495064,313.38,1.168646694214881,6.7,278618.77403792256,1.0219069971251438,1876.0,3297.0,88.33333333333333,278200.0,-11.11077224,0,5.924854418993818,7.537430036586509,0
AK,2017-01-01,2017Q1,4.3,5.1,41.3,32.7,11.2,9.7,115.0,79.1,4.171166666666667,-0.1288333333333327,344.20166287418,314.35,1.1096815696365558,6.633333333333333,278965.9036391328,0.8645633965676192,2508.0,2358.0,86.66666666666667,272051.6666666667,-7.014155928,0,5.844128776330289,7.827639546366422,0
AK,2017-04-01,2017Q2,4.3,5.1,41.5,33.3,10.8,9.3,115.0,79.9,3.986333333333333,-0.31366666666666676,411.543159678551,315.63,0.7662101331290083,6.599999999999999,278405.6922053147,0.5166995454779499,4180.0,2729.0,49.0,280066.6666666667,-7.014155928,0,6.022340829825208,8.338305731356565,0
AK,2017-07-01,2017Q3,4.3,5.0,41.3,34.0,10.7,8.9,115.0,80.3,3.8841666666666668,-0.41583333333333306,379.548140431945,318.94,1.1287970067854758,6.599999999999999,279364.84234194533,0.6276121617957875,3786.0,3710.0,60.0,277791.6666666667,-7.014155928,0,5.941612688173922,8.239329427901795,0
AK,2017-10-01,2017Q4,4.3,5.0,41.5,34.4,10.5,8.6,115.0,80.9,3.922333333333333,-0.3776666666666668,409.703245269393,319.45,1.9369455612993747,6.599999999999999,281935.4224872339,1.190389434726291,2064.0,3648.0,86.66666666666667,270916.6666666667,-7.014155928,0,6.017870922731618,7.632885505395133,0
AK,2018-01-01,2018Q1,4.3,4.9,41.3,35.2,10.2,8.3,115.0,81.4,4.268833333333333,-0.031166666666666565,458.58884478905,319.42,1.6128519166534128,6.3999999999999995,283157.1638352552,1.5024274083130118,2870.0,2701.0,86.33333333333333,270441.6666666667,-14.51240868,0,6.130332274115746,7.962415680121064,0
AK,2018-04-01,2018Q2,4.3,4.8,40.6,36.3,10.2,8.1,115.0,81.69999999999999,4.541166666666666,0.24116666666666653,423.148266796749,320.69,1.6031429205081826,6.033333333333334,283929.93299685774,1.9842413234385736,4170.0,3050.0,54.666666666666664,287966.3333333333,-14.51240868,0,6.050083079947503,8.335911094196945,0
AK,2018-07-01,2018Q3,4.3,4.7,39.5,37.6,10.4,7.8,115.0,81.80000000000001,4.568333333333333,0.26833333333333353,390.809573459861,321.37,0.7618987897410223,5.900000000000001,283889.9750610364,1.6197931998731097,3552.0,4017.0,64.0,282825.0,-14.51240868,0,5.970775939770014,8.175547596021026,0
AK,2018-10-01,2018Q4,4.3,4.6,38.4,38.2,11.1,7.7,115.0,81.2,4.777833333333334,0.4778333333333338,427.993583317033,320.45,0.31303803412114917,6.033333333333334,284398.98941833066,0.873805394640792,1960.0,3596.0,90.66666666666667,279966.6666666667,-14.51240868,0,6.061441961513202,7.581209826196346,0
